id,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans,created_at
18363,DevOps Engineer,Monitoring,Medium,What is distributed tracing?,Tracking request as it travels through multiple microservices,Log aggregation,Metric collection,Alert management,A,2026-07-05 11:34:19.858491+05:30
18364,DevOps Engineer,Monitoring,Medium,What is Jaeger?,Open-source distributed tracing platform (CNCF),Metrics tool,Log tool,Alert tool,A,2026-07-05 11:34:19.858491+05:30
18365,DevOps Engineer,Monitoring,Medium,What is Zipkin?,Distributed tracing system originally by Twitter,Metrics tool,Log tool,Grafana alternative,A,2026-07-05 11:34:19.858491+05:30
18366,DevOps Engineer,Monitoring,Hard,What is OpenTelemetry?,"Vendor-neutral standard for collecting metrics, logs, and traces",Proprietary monitoring,Single vendor solution,Log format only,A,2026-07-05 11:34:19.858491+05:30
18367,DevOps Engineer,Monitoring,Medium,What is a span in distributed tracing?,Single unit of work representing one operation in a trace,Complete trace,Log entry,Metric value,A,2026-07-05 11:34:19.858491+05:30
18368,DevOps Engineer,Monitoring,Medium,What is a trace in distributed tracing?,Complete journey of a request through all services,Single span,Log aggregation,Metric series,A,2026-07-05 11:34:19.858491+05:30
18369,DevOps Engineer,Monitoring,Hard,What is trace context propagation?,Passing trace ID across service boundaries for correlation,Log correlation,Metric labeling,Alert correlation,A,2026-07-05 11:34:19.858491+05:30
18370,DevOps Engineer,Monitoring,Hard,What is SLI (Service Level Indicator)?,Metric measuring a specific aspect of service performance,SLA definition,SLO breach,Alert threshold,A,2026-07-05 11:34:19.858491+05:30
18371,DevOps Engineer,Monitoring,Hard,What is SLO (Service Level Objective)?,"Target value for an SLI (e.g., 99.9% uptime)",Contract with customer,Alert threshold,Metric query,A,2026-07-05 11:34:19.858491+05:30
18372,DevOps Engineer,Monitoring,Medium,What is SLA (Service Level Agreement)?,Contractual commitment to customers about service levels,Internal target,Metric definition,Alert rule,A,2026-07-05 11:34:19.858491+05:30
18373,DevOps Engineer,Monitoring,Hard,What is error budget?,Amount of downtime/errors allowed before SLO is breached,Alert threshold,Cost budget,Resource quota,A,2026-07-05 11:34:19.858491+05:30
18374,DevOps Engineer,Monitoring,Hard,What is RED method of monitoring?,"Rate, Errors, Duration — key metrics for services","Reliability, Efficiency, Durability","Read, Execute, Delete","Resource, Event, Dependency",A,2026-07-05 11:34:19.858491+05:30
18375,DevOps Engineer,Monitoring,Hard,What is USE method of monitoring?,"Utilization, Saturation, Errors — for infrastructure resources","Usage, Storage, Efficiency","User, System, Event","Update, Scale, Error",A,2026-07-05 11:34:19.858491+05:30
18376,DevOps Engineer,Monitoring,Hard,What is the Four Golden Signals?,"Latency, Traffic, Errors, Saturation (Google's monitoring approach)",4 SLIs,4 alerting rules,4 log levels,A,2026-07-05 11:34:19.858491+05:30
18377,DevOps Engineer,Monitoring,Easy,What is latency in monitoring?,"Time to serve a request (p50, p95, p99 percentiles)",CPU usage,Memory usage,Disk I/O,A,2026-07-05 11:34:19.858491+05:30
18378,DevOps Engineer,Monitoring,Medium,What is saturation in monitoring?,"How full a resource is (CPU, memory, queue depth)",Error rate,Request rate,Response time,A,2026-07-05 11:34:19.858491+05:30
18379,DevOps Engineer,Monitoring,Hard,What is a metric cardinality problem?,Too many unique label combinations causing memory explosion in Prometheus,Too many metrics,Too many dashboards,Too many alerts,A,2026-07-05 11:34:19.858491+05:30
18380,DevOps Engineer,Monitoring,Medium,What is a scrape interval in Prometheus?,Frequency at which Prometheus collects metrics from targets,Alert interval,Retention period,Query timeout,A,2026-07-05 11:34:19.858491+05:30
18381,DevOps Engineer,Monitoring,Hard,What is Prometheus pushgateway?,Intermediary for pushing metrics from short-lived jobs,Pull mechanism,Alert forwarder,Log collector,A,2026-07-05 11:34:19.858491+05:30
18382,DevOps Engineer,Monitoring,Medium,What is a counter metric type?,"Monotonically increasing value (resets on restart) — e.g., total requests",Can decrease,Can go negative,Fixed value,A,2026-07-05 11:34:19.858491+05:30
18383,DevOps Engineer,Monitoring,Medium,What is a gauge metric type?,"Value that can go up and down — e.g., current memory usage",Always increases,Always decreases,Counter variant,A,2026-07-05 11:34:19.858491+05:30
18384,DevOps Engineer,Monitoring,Hard,What is a histogram metric type?,"Samples observations in configurable buckets (e.g., request duration)",Single value,Monotonic counter,Label-only metric,A,2026-07-05 11:34:19.858491+05:30
18385,DevOps Engineer,Monitoring,Hard,What is a summary metric type?,Calculates configurable quantiles over a sliding time window,Histogram variant,Counter variant,Gauge variant,A,2026-07-05 11:34:19.858491+05:30
18386,DevOps Engineer,Monitoring,Easy,What is health check endpoint?,"API endpoint (/health, /ready) reporting application health status",Monitoring dashboard,Alert rule,Tracing endpoint,A,2026-07-05 11:34:19.858491+05:30
18387,DevOps Engineer,Monitoring,Medium,What is the difference between /health and /ready?,Health checks if app is alive; ready checks if ready to serve traffic,No difference,Health checks readiness,Ready checks liveness,A,2026-07-05 11:34:19.858491+05:30
18388,DevOps Engineer,Monitoring,Easy,What is on-call rotation?,Scheduling team members to be responsible for incident response,Development schedule,Sprint rotation,Meeting schedule,A,2026-07-05 11:34:19.858491+05:30
18389,DevOps Engineer,Monitoring,Medium,What is incident management?,"Process for detecting, responding to, and resolving production issues",Change management,Release management,Capacity management,A,2026-07-05 11:34:19.858491+05:30
18390,DevOps Engineer,Monitoring,Medium,What is MTBF (Mean Time Between Failures)?,Average time between system failures,Recovery time,Deployment time,Build time,A,2026-07-05 11:34:19.858491+05:30
18391,DevOps Engineer,Monitoring,Medium,What is postmortem (incident retrospective)?,Blameless analysis of incident cause and prevention measures,Blame assignment,Firing decision,Bug report,A,2026-07-05 11:34:19.858491+05:30
18392,DevOps Engineer,Monitoring,Hard,What is synthetic monitoring?,Simulating user interactions to proactively test application availability,Real user monitoring,Log monitoring,Metric monitoring,A,2026-07-05 11:34:19.858491+05:30
18393,DevOps Engineer,Monitoring,Medium,What is Real User Monitoring (RUM)?,Collecting performance data from actual user browsers,Synthetic monitoring,Server monitoring,API monitoring,A,2026-07-05 11:34:19.858491+05:30
18394,DevOps Engineer,Monitoring,Medium,What is APM (Application Performance Monitoring)?,Monitoring application behavior and performance in production,Infrastructure monitoring,Network monitoring,Log monitoring,A,2026-07-05 11:34:19.858491+05:30
18395,DevOps Engineer,Monitoring,Easy,What is New Relic?,Full-stack APM and observability platform,Open-source only tool,On-premise monitoring,Container tool,A,2026-07-05 11:34:19.858491+05:30
18396,DevOps Engineer,Monitoring,Easy,What is Datadog?,"Cloud monitoring and analytics platform with APM, logs, metrics",Open-source tool,Self-hosted only,K8s-only tool,A,2026-07-05 11:34:19.858491+05:30
18397,DevOps Engineer,Monitoring,Medium,What is Dynatrace?,AI-powered full-stack observability and monitoring platform,Open-source tool,Log-only tool,Metrics-only tool,A,2026-07-05 11:34:19.858491+05:30
18398,DevOps Engineer,Monitoring,Easy,What is CloudWatch?,AWS native monitoring service for AWS resources and applications,Azure monitoring,GCP monitoring,K8s monitoring,A,2026-07-05 11:34:19.858491+05:30
18399,DevOps Engineer,Monitoring,Easy,What is Azure Monitor?,Microsoft's monitoring service for Azure resources,AWS monitoring,GCP monitoring,Open-source tool,A,2026-07-05 11:34:19.858491+05:30
18400,DevOps Engineer,Monitoring,Easy,What is Google Cloud Monitoring?,GCP's native monitoring service (formerly Stackdriver),AWS service,Azure service,Open-source tool,A,2026-07-05 11:34:19.858491+05:30
18401,DevOps Engineer,Monitoring,Easy,What is PagerDuty?,Incident management and on-call scheduling platform,Monitoring tool,CI/CD tool,Container tool,A,2026-07-05 11:34:19.858491+05:30
18402,DevOps Engineer,Monitoring,Medium,What is VictorOps (Splunk On-Call)?,Incident management and on-call scheduling platform,Monitoring tool,Log tool,Tracing tool,A,2026-07-05 11:34:19.858491+05:30
18403,DevOps Engineer,Monitoring,Medium,What is the purpose of runbooks?,Step-by-step procedures for handling known operational issues,Code documentation,API documentation,Test documentation,A,2026-07-05 11:34:19.858491+05:30
18404,DevOps Engineer,Monitoring,Easy,What is log level?,"Severity classification: DEBUG, INFO, WARN, ERROR, FATAL",Log format,Log timestamp,Log source,A,2026-07-05 11:34:19.858491+05:30
18405,DevOps Engineer,Monitoring,Medium,What is structured logging?,Logs in machine-parseable format (JSON) with consistent fields,Unformatted logs,Binary logs,Compressed logs,A,2026-07-05 11:34:19.858491+05:30
18406,DevOps Engineer,Monitoring,Easy,What is centralized logging?,Collecting all application logs in one system for search and analysis,Local log files,Syslog only,Database logs,A,2026-07-05 11:34:19.858491+05:30
18407,DevOps Engineer,Monitoring,Medium,What is log retention policy?,Rules defining how long logs are stored before deletion or archival,Log format,Log level,Log rotation,A,2026-07-05 11:34:19.858491+05:30
18408,DevOps Engineer,Monitoring,Hard,What is a correlation ID?,Unique ID propagated across services to correlate logs for one request,User ID,Session ID,Transaction ID,A,2026-07-05 11:34:19.858491+05:30
18409,DevOps Engineer,Monitoring,Hard,What is the difference between monitoring and observability?,Monitoring checks known failures; observability enables understanding unknown issues,Same thing,Observability is simpler,Monitoring is more advanced,A,2026-07-05 11:34:19.858491+05:30
18410,DevOps Engineer,Monitoring,Hard,What is the cardinality of labels in Prometheus?,Number of unique label value combinations — high cardinality is expensive,Number of metrics,Number of targets,Number of queries,A,2026-07-05 11:34:19.858491+05:30
18411,DevOps Engineer,Monitoring,Hard,What is recording rule in Prometheus?,Pre-computes expensive PromQL queries into new metrics for speed,Alert rule,Scrape rule,Aggregation,A,2026-07-05 11:34:19.858491+05:30
18412,DevOps Engineer,Monitoring,Hard,What is the Thanos project?,Extends Prometheus for long-term storage and global querying,Prometheus fork,Log aggregator,Tracing tool,A,2026-07-05 11:34:19.858491+05:30
18413,DevOps Engineer,Monitoring,Hard,What is Cortex?,"Horizontally scalable, multi-tenant, long-term Prometheus storage",Prometheus fork,Grafana plugin,Alert manager,A,2026-07-05 11:34:19.858491+05:30
18414,DevOps Engineer,Monitoring,Hard,What is Mimir?,Grafana's horizontally scalable Prometheus backend,Cortex replacement,Prometheus extension,Log tool,A,2026-07-05 11:34:19.858491+05:30
18415,DevOps Engineer,Monitoring,Hard,What is Tempo (Grafana)?,Grafana's open-source distributed tracing backend,Log tool,Metrics tool,Alert tool,A,2026-07-05 11:34:19.858491+05:30
18416,DevOps Engineer,Monitoring,Hard,What is the role of labels in Prometheus alerting?,Labels route alerts to specific receivers in Alertmanager,Labels are cosmetic,Labels disable alerts,Labels filter logs,A,2026-07-05 11:34:19.858491+05:30
18417,DevOps Engineer,Monitoring,Hard,What is inhibition rule in Alertmanager?,Suppresses certain alerts when another related alert is firing,Silencing rule,Routing rule,Grouping rule,A,2026-07-05 11:34:19.858491+05:30
18418,DevOps Engineer,Monitoring,Medium,What is silencing in Alertmanager?,"Muting alerts for a time period (e.g., during planned maintenance)",Alert deletion,Alert grouping,Alert routing,A,2026-07-05 11:34:19.858491+05:30
18419,DevOps Engineer,Monitoring,Hard,What is anomaly detection in monitoring?,Automatically identifying unusual patterns in metrics,Manual alerting,Log analysis,Capacity planning,A,2026-07-05 11:34:19.858491+05:30
18420,DevOps Engineer,Monitoring,Hard,What is canary monitoring?,Monitoring a small % deployment before full rollout,Full monitoring,Synthetic monitoring,RUM,A,2026-07-05 11:34:19.858491+05:30
18421,DevOps Engineer,Monitoring,Medium,What is capacity planning?,Forecasting and provisioning resources before they hit limits,Incident response,Alert management,Log management,A,2026-07-05 11:34:19.858491+05:30
18422,DevOps Engineer,Monitoring,Hard,What is SLO burn rate alert?,Alert when error budget is being consumed too fast,Standard alert,Uptime alert,Latency alert,A,2026-07-05 11:34:19.858491+05:30
18423,DevOps Engineer,Monitoring,Hard,What is multi-window multi-burn-rate alert?,Advanced SLO alerting detecting fast and slow error budget burns,Single window alert,Log alert,Metric alert,A,2026-07-05 11:34:19.858491+05:30
18424,DevOps Engineer,Monitoring,Medium,What is the node_exporter?,Prometheus exporter for hardware and OS metrics on Linux,Container metrics,K8s metrics,Database metrics,A,2026-07-05 11:34:19.858491+05:30
18425,DevOps Engineer,Monitoring,Hard,What is kube-state-metrics?,Exposes K8s cluster state as Prometheus metrics,Node metrics,Pod log collector,Tracing agent,A,2026-07-05 11:34:19.858491+05:30
18426,DevOps Engineer,Monitoring,Hard,What is Prometheus federation?,Prometheus scraping metrics from other Prometheus servers for aggregation,HA clustering,Long-term storage,Cross-datacenter sync,A,2026-07-05 11:34:19.858491+05:30
18427,DevOps Engineer,Monitoring,Hard,What is the scrape_interval vs evaluation_interval in Prometheus?,Scrape collects metrics; evaluation checks alert rules,Same setting,Evaluation collects metrics,Scrape checks rules,A,2026-07-05 11:34:19.858491+05:30
18428,DevOps Engineer,Monitoring,Hard,What is a dead man's switch alert in monitoring?,Alert that fires when a monitoring system stops working,Alert for downtime,Alert for errors,Alert for latency,A,2026-07-05 11:34:19.858491+05:30
18429,DevOps Engineer,Monitoring,Medium,What is chaos engineering?,Intentionally introducing failures to test system resilience,Random testing,Stress testing,Load testing,A,2026-07-05 11:34:19.858491+05:30
18430,DevOps Engineer,Monitoring,Medium,What is Chaos Monkey?,Netflix tool randomly terminating instances to test resilience,Monitoring tool,Log collector,CI/CD tool,A,2026-07-05 11:34:19.858491+05:30
18431,DevOps Engineer,Monitoring,Medium,What is the purpose of alerting fatigue prevention?,"Reducing noisy, low-signal alerts to prevent team ignoring real issues",Reducing monitoring,Reducing teams,Increasing alerts,A,2026-07-05 11:34:19.858491+05:30
18432,DevOps Engineer,Git,Easy,What is Git?,Distributed version control system tracking code changes,Centralized VCS,CI/CD tool,Code editor,A,2026-07-05 11:34:19.858491+05:30
18433,DevOps Engineer,Git,Easy,What does git init do?,Initializes a new Git repository in current directory,Clones repository,Creates commit,Adds remote,A,2026-07-05 11:34:19.858491+05:30
18434,DevOps Engineer,Git,Easy,What does git clone do?,Creates a local copy of a remote repository,Initializes repo,Creates branch,Adds files,A,2026-07-05 11:34:19.858491+05:30
18435,DevOps Engineer,Git,Easy,What does git add do?,Stages changes for next commit,Commits changes,Pushes changes,Creates branch,A,2026-07-05 11:34:19.858491+05:30
18436,DevOps Engineer,Git,Easy,What does git commit do?,Records staged changes in repository history,Stages changes,Pushes to remote,Creates branch,A,2026-07-05 11:34:19.858491+05:30
18437,DevOps Engineer,Git,Easy,What does git push do?,Uploads local commits to remote repository,Downloads commits,Stages changes,Creates commit,A,2026-07-05 11:34:19.858491+05:30
18438,DevOps Engineer,Git,Easy,What does git pull do?,Fetches remote changes and merges into current branch,Pushes changes,Stages changes,Creates branch,A,2026-07-05 11:34:19.858491+05:30
18439,DevOps Engineer,Git,Medium,What is the difference between git fetch and git pull?,Fetch downloads without merging; pull downloads and merges,No difference,Fetch merges too,Pull doesn't merge,A,2026-07-05 11:34:19.858491+05:30
18440,DevOps Engineer,Git,Easy,What does git status do?,"Shows working tree status (staged, unstaged, untracked files)",Shows commit history,Shows branches,Shows remotes,A,2026-07-05 11:34:19.858491+05:30
18441,DevOps Engineer,Git,Easy,What does git log do?,Shows commit history,Shows file differences,Shows branches,Shows remotes,A,2026-07-05 11:34:19.858491+05:30
18442,DevOps Engineer,Git,Easy,What does git diff do?,Shows differences between working tree and last commit,Shows commit log,Shows branch list,Shows staged changes,A,2026-07-05 11:34:19.858491+05:30
18443,DevOps Engineer,Git,Easy,What does git branch do?,"Lists, creates, or deletes branches",Creates commit,Switches branches,Merges branches,A,2026-07-05 11:34:19.858491+05:30
18444,DevOps Engineer,Git,Easy,What does git checkout do?,Switches branches or restores working tree files,Creates branches,Merges branches,Pushes branches,A,2026-07-05 11:34:19.858491+05:30
18445,DevOps Engineer,Git,Medium,What does git switch do?,Modern replacement for git checkout for switching branches,Creates commits,Merges branches,Shows logs,A,2026-07-05 11:34:19.858491+05:30
18446,DevOps Engineer,Git,Easy,What does git merge do?,Integrates changes from another branch into current branch,Creates branch,Rebases branch,Deletes branch,A,2026-07-05 11:34:19.858491+05:30
18447,DevOps Engineer,Git,Medium,What is the difference between merge and rebase?,Merge creates merge commit; rebase rewrites history for linear log,No difference,Rebase creates merge commit,Merge rewrites history,A,2026-07-05 11:34:19.858491+05:30
18448,DevOps Engineer,Git,Medium,What does git rebase do?,Moves/combines commits by reapplying them on top of another branch,Merges branches,Deletes commits,Stages files,A,2026-07-05 11:34:19.858491+05:30
18449,DevOps Engineer,Git,Easy,What is a merge conflict?,Occurs when two branches change same part of same file differently,Build error,Git error,Push error,A,2026-07-05 11:34:19.858491+05:30
18450,DevOps Engineer,Git,Medium,How do you resolve a merge conflict?,"Edit conflicted file, remove markers, git add, git commit",Delete the file,Use git reset,Use git revert,A,2026-07-05 11:34:19.858491+05:30
18451,DevOps Engineer,Git,Medium,What does git stash do?,Temporarily saves uncommitted changes to a clean working directory,Commits changes,Deletes changes,Pushes changes,A,2026-07-05 11:34:19.858491+05:30
18452,DevOps Engineer,Git,Medium,What does git stash pop do?,Restores last stashed changes and removes from stash,Deletes stash,Lists stashes,Creates stash,A,2026-07-05 11:34:19.858491+05:30
18453,DevOps Engineer,Git,Medium,What does git reset do?,Moves HEAD and branch pointer to specified commit,Commits changes,Pushes changes,Merges changes,A,2026-07-05 11:34:19.858491+05:30
18454,DevOps Engineer,Git,Hard,"What is the difference between git reset --soft, --mixed, --hard?",soft: keeps staged+working; mixed: keeps working only; hard: discards all,No difference,Hard keeps files,Soft discards all,A,2026-07-05 11:34:19.858491+05:30
18455,DevOps Engineer,Git,Medium,What does git revert do?,Creates new commit undoing changes from a previous commit (non-destructive),Deletes commit,Amends commit,Hides commit,A,2026-07-05 11:34:19.858491+05:30
18456,DevOps Engineer,Git,Hard,What is the difference between git reset and git revert?,Reset moves HEAD (destructive); revert creates new commit (safe),No difference,Both are destructive,Both are safe,A,2026-07-05 11:34:19.858491+05:30
18457,DevOps Engineer,Git,Hard,What does git cherry-pick do?,Applies a specific commit from another branch to current branch,Merges branches,Copies all commits,Creates branch,A,2026-07-05 11:34:19.858491+05:30
18458,DevOps Engineer,Git,Medium,What does git tag do?,Creates a named reference to a specific commit (releases),Creates branch,Creates commit,Marks files,A,2026-07-05 11:34:19.858491+05:30
18459,DevOps Engineer,Git,Hard,What is an annotated tag vs lightweight tag?,Annotated: full object with message; lightweight: just a pointer,No difference,Annotated is temporary,Lightweight has message,A,2026-07-05 11:34:19.858491+05:30
18460,DevOps Engineer,Git,Medium,What is HEAD in Git?,Pointer to currently checked-out commit or branch,Remote reference,Staged area,Stash,A,2026-07-05 11:34:19.858491+05:30
18461,DevOps Engineer,Git,Hard,What is detached HEAD state?,"HEAD points directly to commit, not a branch",Normal state,Error state,Merge state,A,2026-07-05 11:34:19.858491+05:30
18462,DevOps Engineer,Git,Easy,What does git remote do?,Manages connections to remote repositories,Creates commits,Manages branches,Manages stashes,A,2026-07-05 11:34:19.858491+05:30
18463,DevOps Engineer,Git,Easy,What does git remote add do?,Adds a new remote repository connection,Removes remote,Lists remotes,Fetches remote,A,2026-07-05 11:34:19.858491+05:30
18464,DevOps Engineer,Git,Easy,What is origin?,Default name for primary remote repository,Local branch,Default branch,Working directory,A,2026-07-05 11:34:19.858491+05:30
18465,DevOps Engineer,Git,Medium,What is upstream?,Remote repository you forked from (or main remote),Default remote,Branch name,Tag,A,2026-07-05 11:34:19.858491+05:30
18466,DevOps Engineer,Git,Hard,What does git bisect do?,Binary search through commits to find which introduced a bug,Splits repository,Finds branches,Lists commits,A,2026-07-05 11:34:19.858491+05:30
18467,DevOps Engineer,Git,Medium,What does git blame do?,Shows who changed each line of a file and when,Blames for errors,Shows commit log,Shows branches,A,2026-07-05 11:34:19.858491+05:30
18468,DevOps Engineer,Git,Easy,What is .gitignore?,File listing patterns of files Git should not track,Git config file,Git state file,Branch config,A,2026-07-05 11:34:19.858491+05:30
18469,DevOps Engineer,Git,Medium,What is a Git hook?,"Script triggered by Git events (pre-commit, post-push)",Branch protection,Remote config,Merge strategy,A,2026-07-05 11:34:19.858491+05:30
18470,DevOps Engineer,Git,Medium,What is a pre-commit hook?,"Script running before each commit (e.g., linting, tests)",Post-commit hook,Push hook,Merge hook,A,2026-07-05 11:34:19.858491+05:30
18471,DevOps Engineer,Git,Medium,What is the staging area (index)?,Intermediate area where changes are prepared before committing,Repository,Working tree,Stash,A,2026-07-05 11:34:19.858491+05:30
18472,DevOps Engineer,Git,Hard,What does git add -p do?,Interactively stages specific chunks of changes (patch mode),Adds all files,Stages one file,Unstages files,A,2026-07-05 11:34:19.858491+05:30
18473,DevOps Engineer,Git,Medium,What is git commit --amend?,Modifies the last commit (message or files),Creates new commit,Deletes commit,Stages commit,A,2026-07-05 11:34:19.858491+05:30
18474,DevOps Engineer,Git,Hard,What does git reflog do?,"Shows history of all HEAD changes, including resets and checkouts",Shows branch log,Shows remote log,Shows stash log,A,2026-07-05 11:34:19.858491+05:30
18475,DevOps Engineer,Git,Hard,Why is git reflog useful?,Can recover lost commits after accidental reset or branch deletion,Just for reference,Shows all files,Shows merge history,A,2026-07-05 11:34:19.858491+05:30
18476,DevOps Engineer,Git,Medium,What is a squash merge?,Combines all commits from a branch into one before merging,Regular merge,Fast-forward merge,Rebase merge,A,2026-07-05 11:34:19.858491+05:30
18477,DevOps Engineer,Git,Medium,What is fast-forward merge?,Moves branch pointer forward without creating merge commit (linear history),Creates merge commit,Squashes commits,Rebases commits,A,2026-07-05 11:34:19.858491+05:30
18478,DevOps Engineer,Git,Hard,What is the --no-ff flag?,Forces merge commit even when fast-forward is possible,Fast-forward flag,Squash flag,Rebase flag,A,2026-07-05 11:34:19.858491+05:30
18479,DevOps Engineer,Git,Hard,What is an interactive rebase?,"git rebase -i — allows squash, reword, drop, reorder commits",Automatic rebase,Simple rebase,Merge rebase,A,2026-07-05 11:34:19.858491+05:30
18480,DevOps Engineer,Git,Medium,What is squashing commits?,Combining multiple commits into one for cleaner history,Splitting commits,Ordering commits,Deleting commits,A,2026-07-05 11:34:19.858491+05:30
18481,DevOps Engineer,Git,Medium,What is the GitHub Flow branching model?,main + short-lived feature branches + PR to merge,Git Flow,Trunk-based,Release branches,A,2026-07-05 11:34:19.858491+05:30
18482,DevOps Engineer,Git,Hard,What is the purpose of git pull --rebase?,Pulls remote changes and rebases local commits instead of merge commit,Regular pull,Force pull,Shallow pull,A,2026-07-05 11:34:19.858491+05:30
18483,DevOps Engineer,Git,Hard,What is a shallow clone?,Clones only limited commit history (--depth N) for faster download,Full clone,Partial clone,Mirror clone,A,2026-07-05 11:34:19.858491+05:30
18484,DevOps Engineer,Git,Hard,What is git submodule?,Embeds another repository inside a parent repository at a specific commit,Branch strategy,Tag strategy,Merge strategy,A,2026-07-05 11:34:19.858491+05:30
18485,DevOps Engineer,Git,Hard,What does git worktree do?,Allows multiple working directories from same repository,Multiple repos,Branch copies,Clone variants,A,2026-07-05 11:34:19.858491+05:30
18486,DevOps Engineer,Git,Medium,What is git archive?,Creates archive (zip/tar) of repository content,Backup command,Clone command,Export command,A,2026-07-05 11:34:19.858491+05:30
18487,DevOps Engineer,Git,Medium,What is git shortlog?,Summarizes git log output by author,Short commit log,Branch summary,Tag summary,A,2026-07-05 11:34:19.858491+05:30
18488,DevOps Engineer,Git,Medium,What is git grep?,Searches for patterns in tracked files,Log search,Branch search,Remote search,A,2026-07-05 11:34:19.858491+05:30
18489,DevOps Engineer,Git,Hard,What does ORIG_HEAD contain after a merge?,Reference to previous HEAD before the merge,Current HEAD,Upstream branch,Stash reference,A,2026-07-05 11:34:19.858491+05:30
18490,DevOps Engineer,Git,Hard,What is FETCH_HEAD?,Latest fetched commit from last git fetch,Remote HEAD,Merge head,Original HEAD,A,2026-07-05 11:34:19.858491+05:30
18491,DevOps Engineer,Git,Hard,What is MERGE_HEAD?,Commit being merged in a currently active merge,Fetch head,Original head,Current head,A,2026-07-05 11:34:19.858491+05:30
18492,DevOps Engineer,Git,Hard,What is git gc?,Garbage collection — cleans up unnecessary files and optimizes repo,Gets commits,Creates archives,Lists refs,A,2026-07-05 11:34:19.858491+05:30
18493,DevOps Engineer,Git,Hard,What is git prune?,Removes objects unreachable from any reference,Lists branches,Cleans working dir,Resets index,A,2026-07-05 11:34:19.858491+05:30
18494,DevOps Engineer,Git,Hard,What is git remote prune origin?,Removes stale remote-tracking branches deleted on remote,Deletes local branches,Fetches remote,Updates remote,A,2026-07-05 11:34:19.858491+05:30
18495,DevOps Engineer,Git,Hard,What is a bare repository?,"Repository without working tree, used as remote/server",Standard repo,Shallow repo,Mirror repo,A,2026-07-05 11:34:19.858491+05:30
18496,DevOps Engineer,Git,Hard,What is git bundle?,Creates single file containing repository data for offline transfer,Archive file,Backup file,Config file,A,2026-07-05 11:34:19.858491+05:30
18497,DevOps Engineer,Git,Medium,What does git clean do?,Removes untracked files from working directory,Stages files,Commits files,Deletes tracked files,A,2026-07-05 11:34:19.858491+05:30
18498,DevOps Engineer,Git,Easy,What is the difference between tracked and untracked files?,"Tracked files are known to Git; untracked are new, not yet added",No difference,Tracked are staged,Untracked are committed,A,2026-07-05 11:34:19.858491+05:30
18499,DevOps Engineer,Git,Medium,What is modified vs staged vs committed?,Modified: changed but not staged; staged: ready to commit; committed: in history,Same states,Modified is staged,Staged is committed,A,2026-07-05 11:34:19.858491+05:30
18500,DevOps Engineer,Git,Easy,What does git log --oneline do?,Shows condensed one-line format for each commit,Full log,Branch log,Remote log,A,2026-07-05 11:34:19.858491+05:30
18501,DevOps Engineer,Git,Medium,What does git log --graph do?,Shows ASCII graph of branch and merge history,Flat log,File log,Remote log,A,2026-07-05 11:34:19.858491+05:30
18502,DevOps Engineer,Git,Easy,What is git config --global?,Sets configuration for all repositories for current user,Per-repo config,System config,Temporary config,A,2026-07-05 11:34:19.858491+05:30
18503,DevOps Engineer,Git,Hard,What is the purpose of commit signing?,Verifies commit was made by specific person using GPG key,Performance,CI requirement,Code style,A,2026-07-05 11:34:19.858491+05:30
18504,DevOps Engineer,Git,Hard,What is git rerere?,Reuse Recorded Resolution — auto-applies previous conflict resolutions,Revert tool,Rebase helper,Merge tool,A,2026-07-05 11:34:19.858491+05:30
18505,DevOps Engineer,Git,Hard,What is the rule about rewriting public history?,Never rebase or force-push commits already shared with others,Always rewrite,Rewrite as needed,Force push is fine,A,2026-07-05 11:34:19.858491+05:30
18506,DevOps Engineer,Git,Medium,What is force push (git push -f)?,Overwrites remote history (dangerous for shared branches),Safe push,Normal push,Slow push,A,2026-07-05 11:34:19.858491+05:30
18507,DevOps Engineer,Git,Hard,What is git push --force-with-lease?,Safer force push that fails if remote was updated since last fetch,Normal force push,Safe alternative to -f,Required for rebasing,A,2026-07-05 11:34:19.858491+05:30
18508,DevOps Engineer,Git,Medium,What is conventional commits?,"Structured commit message format (feat:, fix:, chore:, etc.)",Coding convention,Branch naming,Git hook,A,2026-07-05 11:34:19.858491+05:30
18509,DevOps Engineer,Git,Hard,What is semantic-release?,Automates versioning and changelog based on conventional commits,Manual versioning,Tag management,Branch strategy,A,2026-07-05 11:34:19.858491+05:30
18510,DevOps Engineer,Git,Medium,What is git-flow tool?,CLI implementing the Git Flow branching strategy,Built-in Git,GitHub feature,GitLab feature,A,2026-07-05 11:34:19.858491+05:30
18511,DevOps Engineer,Git,Medium,What is the purpose of PR (Pull Request) templates?,Standardize PR descriptions for consistency and completeness,Required by Git,GitHub default,Branch template,A,2026-07-05 11:34:19.858491+05:30
18512,DevOps Engineer,Git,Hard,What is CODEOWNERS file?,Defines who must review changes to specific files/directories,Git config,Branch protection,PR template,A,2026-07-05 11:34:19.858491+05:30
18513,DevOps Engineer,Git,Hard,What does Signed-off-by mean in commits?,Developer certifies they have rights to contribute the code (DCO),Required by Git,Code review step,PR approval,A,2026-07-05 11:34:19.858491+05:30
