id,title,body,category,skill,difficulty,roles,source,created_at
107354,How do you implement multidimensional array slicing efficiently?,Use array subsections and reshape for operations without copies.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107355,How do you implement FORTRAN coarrays synchronization?,"Use SYNC ALL, SYNC IMAGES, or SYNC MEMORY for proper data consistency.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107356,How do you implement parallel reduction operations?,"Use SUM, PRODUCT, MAXVAL, MINVAL with coarrays or parallel constructs.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107357,How do you implement dynamic module loading?,Use CALL EXECUTE or compiler-dependent dynamic linking features.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107358,How do you implement custom intrinsic-like procedures?,Define MODULE procedures with generic interfaces.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107359,How do you implement FORTRAN programs with mixed precision?,Use different KIND variables carefully; convert when necessary.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107360,How do you implement asynchronous I/O?,Use compiler-dependent asynchronous READ/WRITE or non-blocking I/O libraries.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107361,How do you implement function pointers or procedure pointers?,"Use PROCEDURE, POINTER, and PASS attributes to assign procedures dynamically.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107362,How do you implement FORTRAN with distributed memory systems?,Use MPI library routines for inter-process communication.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107363,How do you implement matrix factorization algorithms?,"Use LAPACK routines or custom FORTRAN loops for LU, QR, Cholesky.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107364,How do you implement performance profiling?,"Use compiler flags, intrinsic timing, or external profiling tools.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107365,How do you implement thread-safe modules?,Avoid global mutable state; use local variables and synchronization primitives.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107366,How do you implement custom data serialization?,Use WRITE/READ with unformatted files or construct formatted strings manually.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107367,How do you implement FORTRAN programs handling huge datasets?,"Use ALLOCATABLE arrays, sequential or direct access files, memory optimization.",Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107368,How do you implement advanced recursion with derived types?,Use RECURSIVE functions with POINTER components in derived types.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107369,How do you implement operator overloading for derived types?,Use INTERFACE operator and TYPE-bound procedures.,Programming Languages,Forton,Hard,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107370,What is Pascal programming language?,A high-level procedural programming language developed by Niklaus Wirth.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107371,What are the main features of Pascal?,"Structured programming, strong typing, readability, and simplicity.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107372,What is a program structure in Pascal?,"PROGRAM header, uses clauses, VAR section, BEGIN ... END block.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107373,How do you declare variables in Pascal?,"Use VAR keyword followed by variable names and types, e.g., VAR x: INTEGER;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107374,What are the basic data types in Pascal?,"INTEGER, REAL, CHAR, BOOLEAN, STRING.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107375,What is a constant in Pascal?,"A value that does not change, declared using CONST keyword.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107376,What is a comment in Pascal?,"Text between { } or (* *), ignored by compiler.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107377,What is a procedure in Pascal?,A subprogram that performs a task but does not return a value.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107378,What is a function in Pascal?,A subprogram that returns a value.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107379,How do you call a procedure or function?,Use its name with parentheses if it has parameters.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107380,What is a CASE statement?,"Multi-way branch based on value, e.g., CASE expression OF ... END;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107381,What is a REPEAT loop?,Executes a block until a condition becomes TRUE.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107382,What is the difference between WHILE and REPEAT loops?,WHILE checks condition before execution; REPEAT checks after execution.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107383,What is a record in Pascal?,A composite data type to group variables of different types.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107384,How do you declare a record?,"Use RECORD ... END; e.g., VAR person: RECORD name: STRING; age: INTEGER; END;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107385,What is a pointer in Pascal?,A variable that stores the address of another variable.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107386,How do you declare a pointer?,"Use ^ symbol, e.g., VAR p: ^INTEGER;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107387,What is a file in Pascal?,A collection of data stored externally for reading or writing.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107388,How do you declare a file variable?,"Use FILE type, e.g., VAR f: TEXT;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107389,What is a string in Pascal?,A sequence of characters.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107390,How do you declare a string variable?,"Use STRING type, e.g., VAR s: STRING;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107391,What is a type declaration?,Creating user-defined types using TYPE keyword.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107392,How do you define a new type?,"Use TYPE keyword, e.g., TYPE T = INTEGER;",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107393,What is a program block?,BEGIN ... END enclosing executable statements.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107394,What is the difference between PROCEDURE and FUNCTION?,Procedure does not return value; function returns value.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107395,What is local and global variable?,Local declared inside procedure/function; global declared in VAR section outside.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107396,What is scope of a variable?,The part of program where variable is accessible.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107397,What is nested procedure?,A procedure declared inside another procedure or function.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107398,What is recursion in Pascal?,A procedure or function that calls itself.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107399,What is an enumerated type?,"A user-defined type with named values, e.g., TYPE Days = (Mon, Tue, Wed);",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107400,What is type compatibility?,Ensuring values assigned to variables are of compatible types.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107401,What is a built-in function in Pascal?,"A function provided by compiler, e.g., ABS, SQRT, LENGTH.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107402,What is a built-in procedure in Pascal?,"A procedure provided by compiler, e.g., WRITE, READLN.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107403,How do you perform input in Pascal?,Use READ or READLN statements.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107404,How do you perform output in Pascal?,Use WRITE or WRITELN statements.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107405,What is a program header?,The PROGRAM statement at the beginning specifying program name.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107406,What is a semicolon used for in Pascal?,To separate statements.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107407,What is the difference between := and = in Pascal?,:= is assignment; = is equality comparison.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107408,What is a real variable?,A variable storing floating-point numbers.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107409,What is integer division?,Division operator DIV returns integer quotient.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107410,What is modulus operation?,Mod returns remainder of integer division.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107411,What is a standard Pascal library?,"Set of pre-defined routines for I/O, math, strings.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107412,What is structured programming in Pascal?,"Writing code in blocks, using loops, conditionals, procedures/functions.",Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107413,What is strong typing in Pascal?,Variables must be declared with types and cannot mix types without conversion.,Programming Languages,Pascal,Easy,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107414,How do you implement nested loops in Pascal?,Place one loop inside another with unique loop variables.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107415,How do you pass parameters by reference?,Use VAR keyword in procedure/function parameter list.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107416,How do you use dynamic arrays in Pascal?,Declare array with ARRAY OF type and allocate size at runtime (modern Pascal/Delphi).,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107417,How do you implement records with nested records?,Declare a record inside another record and access using dot notation.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107418,How do you implement pointers to records?,Declare pointer with ^ and associate with NEW to allocate memory.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107419,How do you perform pointer arithmetic?,Direct arithmetic is not allowed; manipulate memory via allocated structures.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107420,How do you implement file handling for sequential files?,"Use RESET/REWRITE for open, READ/READLN, WRITE/WRITELN, and CLOSE.",Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107421,How do you implement file handling for binary files?,"Use FILE OF type, BLOCKREAD, BLOCKWRITE for reading/writing records.",Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107422,How do you implement text file reading with loops?,Use WHILE NOT EOF(file) DO READLN(...) loop.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107423,How do you handle end-of-file in Pascal files?,Check EOF(file) or use IOResult for error detection.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107424,How do you implement constant arrays?,Use CONST section with array assignments.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107425,How do you implement enumerated types in procedures?,Pass enumeration values as parameters and use CASE statements.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107426,How do you implement subrange types?,"Define a range, e.g., 1..100, to limit variable values.",Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
107427,How do you implement typed constants?,Use TYPE and CONST together to restrict data type values.,Programming Languages,Pascal,Medium,"[""Backend Engineer"", ""Frontend Engineer"", ""Full Stack Engineer"", ""Software Engineer"", ""Data Engineer"", ""Data Scientist"", ""ML Engineer"", ""DevOps Engineer"", ""QA Engineer"", ""Security Engineer""]",curated,2026-07-05 11:33:22.804491+05:30
